name,instance of,S/G,description,AltLastName,AltMiddleName,AltFirstName,Maiden Name,Married Name,Alias,Birth Date,DoB Source,DoB Source URL,DoB Google Book,Death Date,DoD (P570) Source,DoD Source URL,DoD Google Book,Father,Mother,Spouse,Marriage Date,Place of Marriage,P26+P2562 Source,P26+P2562 Source URL,P26 + P2562 Google Book,Place of Birth (P19),PoB Source,PoB Source URL,PoB Google Books,Place of Death,Place of Death Source,Place of Death Source URL,Place of Burial (P119),P119 Source,P119 Source URL,Place of Residence,Place of Residence Source,Place of Residence Source URL,PoR OCLC #,PoR Google Book,Occupation,Occupation Source,Occupation Source URL,Occptn Google Book,Religion,Collection (P1343),P5008,LOD - WikiData,VIAF,LCCN,Ecartico ID (P2915),GAMEO ID (P1842),FindaGrave (P535),WikiTree ,GND ID (P7902)
Pieter Hoefnagel,human,male,,,,,,,Peder Hoofnagle | Peter Hophnagel | Pieter Hoffnagel | Peter Hofnagel,,,,,1737-11-00,Nieuw Nederlandsch Biografisch Woordenboek|||780,https://resources.huygens.knaw.nl/retroapp/service_nnbw/8/images/page-0398.jpg?size=800x,,,,Hilleke Amelsdonck Leeuw,1737-07-08,Haarlem,Nieuw Nederlandsch Biografisch Woordenboek|||780,https://resources.huygens.knaw.nl/retroapp/service_nnbw/8/images/page-0398.jpg?size=800x,,Haarlem,Nieuw Nederlandsch Biografisch Woordenboek|||780,https://resources.huygens.knaw.nl/retroapp/service_nnbw/8/images/page-0398.jpg?size=800x,,Haarlem,Nieuw Nederlandsch Biografisch Woordenboek|||780,https://resources.huygens.knaw.nl/retroapp/service_nnbw/8/images/page-0398.jpg?size=800x,,,,Haarlem,Nieuw Nederlandsch Biografisch Woordenboek|||780,https://resources.huygens.knaw.nl/retroapp/service_nnbw/8/images/page-0398.jpg?size=800x,,,preacher,GAMEO,"https://gameo.org/index.php?title=Hoefnagel,_Pieter_(d._1737)",,Mennonite,Q134288060,,,,,,"Hoefnagel, Pieter (d. 1737)",,,
Enoch Hovens,human,male,,,,,,,Enock Hoen | Hanoke Horens,1661,GAMEO,https://gameo.org/index.php?title=Hovens_family,,1742,GAMEO,https://gameo.org/index.php?title=Hovens_family,,,,,,,,,,,,,,,,,,,,Haarlem,GAMEO,https://gameo.org/index.php?title=Hovens_family,,,preacher,GAMEO,https://gameo.org/index.php?title=Hovens_family,,Mennonite,Q134288060,,,,,,Hovens family,,,
Claus Janson,human,male,,,,,,,Klaus Johnson | Claes Jansen,1658|circa,FindaGrave,https://www.findagrave.com/memorial/150001118/claes-johnson,,1723-12-00,FindaGrave,https://www.findagrave.com/memorial/150001118/claes-johnson,,,,Walborg Bengtsson,1682|circa,,FindaGrave,https://www.findagrave.com/memorial/150001118/claes-johnson,,Neshaminy Creek,FindaGrave,https://www.findagrave.com/memorial/150001118/claes-johnson,,Neshaminy Creek,FindaGrave,https://www.findagrave.com/memorial/150001118/claes-johnson,Bensalem Township,FindaGrave,https://www.findagrave.com/memorial/150001118/claes-johnson,Neshaminy Creek,FindaGrave,https://www.findagrave.com/memorial/150001118/claes-johnson,,,,,,,,Q110880456,WikiProject PRINT ,,,,,,150001118,,
Richard Johns Sr.,human,male,,,,,,,,1645,,,,1717,,,,,,,,,,,,"Bristol, England",,,,Maryland,,,,,,"Calvert County, MD",,,,,pastor,,,,Quaker,Q133773293,,,,,,,,,
Charlotte Sophie von Waldeck,human,female,,,,,Waldeck,Juncker,Charlotte Sophie Juncker,1667-01-28,Wikipedia,https://de.wikipedia.org/wiki/Johann_Juncker,,1723-09-06,Wikipedia,https://de.wikipedia.org/wiki/Johann_Juncker,,,,Johann Juncker,1707,,Wikipedia,https://de.wikipedia.org/wiki/Johann_Juncker,,Q165763,Wikipedia,https://de.wikipedia.org/wiki/Johann_Juncker,,Halle,Wikipedia,https://de.wikipedia.org/wiki/Johann_Juncker,,,,Halle,Wikipedia,https://de.wikipedia.org/wiki/Johann_Juncker,,,,,,,,Q134288060|Q126727415,WikiProject PRINT ,,,,,,,,
Walter Kerfoot,human,male,,,,,,,,1743|circa,marriage record,https://search.findmypast.co.uk/record?id=GBPRS%2FCHS%2F4018423%2F01485&parentid=GBPRS%2FM%2F737031238%2F1,,1804-11-17|circa,"England, Select Deaths and Burials, 1538-1991",https://www.ancestry.com/search/collections/9840/records/12540410,,,,Alice Chrimes,1764-06-30,Warrington,marriage record,https://search.findmypast.co.uk/record?id=GBPRS%2FCHS%2F4018423%2F01485&parentid=GBPRS%2FM%2F737031238%2F1,,Warrington,marriage record,https://search.findmypast.co.uk/record?id=GBPRS%2FCHS%2F4018423%2F01485&parentid=GBPRS%2FM%2F737031238%2F1,,Warrington,"England, Select Deaths and Burials, 1538-1991",https://www.ancestry.com/search/collections/9840/records/12540410,Warrington,"England, Select Deaths and Burials, 1538-1991",https://www.ancestry.com/search/collections/9840/records/12540410,Warrington,marriage record,https://search.findmypast.co.uk/record?id=GBPRS%2FCHS%2F4018423%2F01485&parentid=GBPRS%2FM%2F737031238%2F1,,,lawyer,,,,Evangelical,Q133886843,WikiProject PRINT ,,,,,,,,
Joan Aldam,human,female,member of the Religious Society of Friends and wife of Thomas Killam,,,,Aldam,Killam|Broughton,Joan Aldham | Joan Killam| Joan Killham | Joan Kellam,1615|circa,Ancestry,https://www.ancestry.com/family-tree/person/tree/76779558/person/202464548062/facts,,1681-07-15,"England & Wales, Quaker Birth, Marriage, and Death Registers, 1578-1837",,,,,Thomas Killam,1653,,Ancestry,https://www.ancestry.com/family-tree/person/tree/76779558/person/202464548062/facts,,Warrington,Ancestry,https://www.ancestry.com/family-tree/person/tree/76779558/person/202464548062/facts,,Balby,"England & Wales, Quaker Birth, Marriage, and Death Registers, 1578-1837",https://www.ancestry.com/search/collections/7097/records/433173,Balby,"England & Wales, Quaker Birth, Marriage, and Death Registers, 1578-1837",https://www.ancestry.com/search/collections/7097/records/433173,,,,,,,,,,Quaker,Q133773293,,,,,,,,Aldam-21,
Thomas Killam,human,male,member of the Religious Society of Friends and husband of Joan Aldam,,,,,,,1629-01-18|circa,FindmyPast,https://www.findmypast.com/transcript?id=GBPRS%2FYORKSHIRE%2FBAP%2F302788113&tab=this,,1690-03-27,Ancestry,https://www.ancestry.com/family-tree/person/tree/76779558/person/202464548059/facts,,,,Joan Aldam,1653,,Ancestry,https://www.ancestry.com/family-tree/person/tree/76779558/person/202464548059/facts,,Balby,Ancestry,https://www.ancestry.com/family-tree/person/tree/76779558/person/202464548059/facts,,Balby,Ancestry,https://www.ancestry.com/family-tree/person/tree/76779558/person/202464548059/facts,Balby,"England & Wales, Quaker Birth, Marriage, and Death Registers, 1578-1837",https://www.ancestry.com/imageviewer/collections/7097/images/41815_b0153432-00097,,,,,,,,,,Quaker,Q133773293,WikiProject PRINT ,,,,,,,Kilham-82,
John Killam,human,male,member of the Religious Society of Friends and husband of Margaret Killam,,,,,,Jan Killham | John Killham | John Kellam,1624-11-21,FindmyPast,https://www.findmypast.com/transcript?id=GBPRS%2FYORKSHIRE%2FBAP%2F302787753&tab=this,,1699-01-03,"England & Wales, Quaker Birth, Marriage, and Death Registers, 1578-1837",,,,,Margaret Killam,1645-05-26,Yorkshire,FindmyPast,https://www.findmypast.co.uk/transcript?id=GBOR%2FPHILLIMORE-MARS%2F0144062%2F1&tab=this,,Yorkshire,baptism record,,,,,,,,,Balby,Journal of George Fox|||461,https://archive.org/details/agv9012.0001.001.umich.edu/page/460/mode/2up,,,,,,,Quaker,Q133773293,WikiProject PRINT ,,,,,,,Kilham-83,
Margaret Killam,human,female,member of the Religious Society of Friends and wife of John Killam,,,,Aldam,,,,,,,,,,,,,John Killam,1645-05-26,Yorkshire,FindmyPast,https://www.findmypast.co.uk/transcript?id=GBOR%2FPHILLIMORE-MARS%2F0144062%2F1&tab=this,,,,,,,,,,,,,,,,,,,,,Quaker,Q133773293,WikiProject PRINT ,,234706084,n84133224,,,,Aldam-22,
Brigitta Kirchner,human,female,correspondent of August Hermann Francke,,,,Dosser,Kirchner,Brigitta Doßer | Brigitta Dosser,1664-10-16,Library of the Francke Foundations,https://archiv.francke-halle.de/objekt_start.fau?prj=ifaust8_afst&dm=Archiv&ref=157248,,,,,,,,Johann Stephan Kirchner,1694-02-13,,Library of the Francke Foundations,https://archiv.francke-halle.de/objekt_start.fau?prj=ifaust8_afst&dm=Archiv&ref=157248,,Erfurt,Library of the Francke Foundations,https://archiv.francke-halle.de/objekt_start.fau?prj=ifaust8_afst&dm=Archiv&ref=157248,,,,,,,,"Erfurt, Thuringia, Germany",Library of the Francke Foundations,https://archiv.francke-halle.de/objekt_start.fau?prj=ifaust8_afst&dm=Archiv&ref=157248,,,,,,,Pietist,Q126727415,WikiProject PRINT ,,,,,,,,
Phebe Blackshaw,human,female,daughter of Randall and Alice Blackshaw and wife of Joseph Kirkbride,,,Phoebe,Blackshaw,Kirkbride,Phoebe Kirkbride | Phoebe Blackshaw | Phoebe Blackshew,1666-08-08,"England & Wales, Quaker Birth, Marriage, and Death Registers, 1578-1837",https://www.ancestry.com/search/collections/7097/records/163011,,1701-09-29,"
genealogy book",https://www.ancestry.com/search/collections/61157/records/1756861,,Randall Blackshaw,Alice Blackshaw,Joseph Kirkbride,1688-03-13,Bucks County,marriage record,https://www.ancestry.com/search/collections/2189/records/6033894,,Cheshire,"England & Wales, Quaker Birth, Marriage, and Death Registers, 1578-1837",https://www.ancestry.com/search/collections/7097/records/163011,,Bucks County,probate record,https://www.ancestry.com/imageviewer/collections/8802/images/005534529_00052,Q117689853,FindaGrave,https://www.findagrave.com/memorial/238579512/phebe-kirkbride,,,,,,,,,,Quaker,Q110880456,WikiProject PRINT ,,,,,,238579512,Blackshaw-20,
Paul Klein,human,male,,,,,,,,1666,Library of the Francke Foundations,https://ARCHIV.FRANCKE-HALLE.DE/objekt_start.fau?prj=ifaust8_afst&dm=Archiv&ref=157576,,1740-06-11,Library of the Francke Foundations,https://ARCHIV.FRANCKE-HALLE.DE/objekt_start.fau?prj=ifaust8_afst&dm=Archiv&ref=157576,,,,,,,,,,,,,,,,,,,,,,,,,pastor,Library of the Francke Foundations,https://ARCHIV.FRANCKE-HALLE.DE/objekt_start.fau?prj=ifaust8_afst&dm=Archiv&ref=157576,,Protestant,Q126727415,WikiProject PRINT ,,,,,,,,
Thomas Langhorne,human,male,early settler to Middletown Township in Pennsylvania and father to Jeremiah Langhorne,,,,,,Thomas Langhorn,1645|circa,Geni.com,https://www.geni.com/people/Thomas-Langhorne/5470261124350138001,,1687-10-06,The Pennsylvania Magazine of History and Biography|7|1|69,https://www.jstor.org/stable/20084593,,,,Grace (Lowther) Langhorne,1671-11-09,,FindmyPast,https://www.findmypast.com/transcript?id=TNA%2FRG6%2FMAR%2F41003%2F1&tab=this,,Westmorland,Pennsylvania Magazine of History and Biography|7|1|67,https://www.jstor.org/stable/20084593,,Q1894260,The Pennsylvania Magazine of History and Biography|7|1|69,https://www.jstor.org/stable/20084593,Q117620123,FindaGrave,https://www.findagrave.com/memorial/176881688/thomas-langhorne,Q1894260,The Pennsylvania Magazine of History and Biography|7|1|69,https://www.jstor.org/stable/20084593,,,preacher,The Pennsylvania Magazine of History and Biography|7|1|69,https://www.jstor.org/stable/20084593,,Quaker,Q110880456|Q133773293,WikiProject PRINT ,,50968035,n97023394,,,176881688,,
Jeremiah Langhorne,human,male,justice of the Pennsylvania Supreme Court and Speaker of the Pennsylvania Provincial Assembly,,,,,,Jeremiah Langhorn,,,,,1742-10-11,The Pennsylvania Magazine of History and Biography|7|1|78,https://www.jstor.org/stable/20084593,,Thomas Langhorne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartholemeus Von Leuvenig,human,male,,,,,,,,1691-04-15,GAMEO,"https://gameo.org/index.php?title=Leuvenig,_Bartholemeus_van_(1691-1759)",,1759-12-18,GAMEO,"https://gameo.org/index.php?title=Leuvenig,_Bartholemeus_van_(1691-1759)",,,,,,,,,,"Burtscheid, Germany",GAMEO,"https://gameo.org/index.php?title=Leuvenig,_Bartholemeus_van_(1691-1759)",,Amsterdam,GAMEO,"https://gameo.org/index.php?title=Leuvenig,_Bartholemeus_van_(1691-1759)",,,,Amsterdam,GAMEO,"https://gameo.org/index.php?title=Leuvenig,_Bartholemeus_van_(1691-1759)",,,pastor,GAMEO,"https://gameo.org/index.php?title=Leuvenig,_Bartholemeus_van_(1691-1759)",,Mennonite,Q134288060,,,,,,"Leuvenig, Bartholemeus van (1691-1759)",,,
Christian Liebe,human,male,,,,,,,Kristiaan Liebe,1679,Documents of Brotherly Love|3,,,1757,Documents of Brotherly Love|3,,,,,,,,,,,"Eppstein, Germany",Documents of Brotherly Love|3,,,,,,,,,"Rheinpfalz|Krefeld, Germany",Documents of Brotherly Love|3,,,,preacher,Documents of Brotherly Love|3,,,Mennonite,Q134288060,,,,,,,,,
David Lloyd,human,male,,,,,,,,1656,The Journal of the Friends' Historical Society|3||49,https://www.google.com/books/edition/The_Journal_of_the_Friends_Historical_So/7vQNAQAAIAAJ?hl=en&gbpv=1&pg=PA49&printsec=frontcover,,1731,The Journal of the Friends' Historical Society|3||49,https://www.google.com/books/edition/The_Journal_of_the_Friends_Historical_So/7vQNAQAAIAAJ?hl=en&gbpv=1&pg=PA49&printsec=frontcover,,,,,1697,,,,,Manafon,The Journal of the Friends' Historical Society|3||49,https://www.google.com/books/edition/The_Journal_of_the_Friends_Historical_So/7vQNAQAAIAAJ?hl=en&gbpv=1&pg=PA49&printsec=frontcover,,,,,,,,"Chester, Chester County, Pennsylvania",The Journal of the Friends' Historical Society|3||49,https://www.google.com/books/edition/The_Journal_of_the_Friends_Historical_So/7vQNAQAAIAAJ?hl=en&gbpv=1&pg=PA49&printsec=frontcover,,,politician,The Journal of the Friends' Historical Society|3||49,https://www.google.com/books/edition/The_Journal_of_the_Friends_Historical_So/7vQNAQAAIAAJ?hl=en&gbpv=1&pg=PA49&printsec=frontcover,,Quaker,Q110880456,,,,,,,,,
Mary Fell,human,female,,,,,Fell,Lower,Mary Lower,1647|circa,,,q23IQgAACAAJ,1720|circa,,,q23IQgAACAAJ,,,Thomas Lower,1668-08-26,,,,q23IQgAACAAJ,Swarthmoor Hall,family tree,https://archive.org/details/pedigreeofforste00fost/page/n59/mode/2up?view=theater,,,,,,,,"Marsh Grange, Dalton-in-furness",,,,q23IQgAACAAJ,,,,,Quaker,Q133886843,,,,,,,,,
Hiob Ludolf,human,male,,,,,,,Job Ludolf,1624-06-24,Deutsche Biographie,https://www.deutsche-biographie.de/sfz54662.html,,1704-04-08,Deutsche Biographie,https://www.deutsche-biographie.de/sfz54662.html,,,,,,,,,,Erfurt,Deutsche Biographie,https://www.deutsche-biographie.de/sfz54662.html,,Frankfurt am Main,Deutsche Biographie,https://www.deutsche-biographie.de/sfz54662.html,,,,,,,,,Philologist,Deutsche Biographie,https://www.deutsche-biographie.de/sfz54662.html,,,Q126727415,WikiProject PRINT ,,,,,,,,sfz54662
Oluf Lygaard,human,male,,,,,,,Olaf Lygard,1691|circa,,https://old.maa.org/press/periodicals/convergence/e-g-ziegenbalg-s-danish-translation-of-euclid-s-elements-ziegenbalg-s-life-and-career,,1741,,https://old.maa.org/press/periodicals/convergence/e-g-ziegenbalg-s-danish-translation-of-euclid-s-elements-ziegenbalg-s-life-and-career,,,,,1720,,,https://old.maa.org/press/periodicals/convergence/e-g-ziegenbalg-s-danish-translation-of-euclid-s-elements-ziegenbalg-s-life-and-career,,,,,,Copenhagen,,https://old.maa.org/press/periodicals/convergence/e-g-ziegenbalg-s-danish-translation-of-euclid-s-elements-ziegenbalg-s-life-and-career,,,,Tharangambadi ,,https://old.maa.org/press/periodicals/convergence/e-g-ziegenbalg-s-danish-translation-of-euclid-s-elements-ziegenbalg-s-life-and-career,,,Missionary,,https://old.maa.org/press/periodicals/convergence/e-g-ziegenbalg-s-danish-translation-of-euclid-s-elements-ziegenbalg-s-life-and-career,,Pietist,Q126727415,,,,,,,,,
Sarah Fell,human,female,,,,,Fell,Mead,,1642,Findmypast,https://www.findmypast.co.uk/transcript?id=TNA%2FRG6%2FBUR%2F807451&tab=this,,1714-06-09,Findmypast,https://www.findmypast.co.uk/transcript?id=TNA%2FRG6%2FBUR%2F807451&tab=this,,,Margaret Fell,William Mead,1681,,family tree,https://archive.org/details/pedigreeofforste00fost/page/n59/mode/2up?view=theater,,Swarthmoor,family tree,https://archive.org/details/pedigreeofforste00fost/page/n59/mode/2up?view=theater,,,,,Middlesex,Findmypast,https://www.findmypast.co.uk/transcript?id=TNA%2FRG6%2FBUR%2F807451&tab=this,Swarthmoor,family tree,https://archive.org/details/pedigreeofforste00fost/page/n59/mode/2up?view=theater,,,,,,,Quaker,Q133886843|Q133773293|Q133886496,WikiProject PRINT ,,,,,,,Fell-60,
James Ridgeway,human,male,,,,,,,James Ridgway,1665,Q133846574,,,1685,Q133846574,,,Ralph Ridgeway,Mary Ridgeway,,,,,,,Manchester,Q133846574,,,Manchester,Q133846574,,Manchester,Q133846574,,Manchester,Q133846574,,,,,,,,Quaker,Q110880456,WikiProject PRINT ,,,,,,,,
Mary Ridgeway Jr.,human,female,,,,,,,Mary Ridgway,,,,,,,,,Ralph Ridgeway,Mary Ridgeway,Thomas Blaykling,,,,,,,,,,,,,,,,,,,,,,,,,Quaker,Q110880456,,,,,,,,,
Jonathan Rigby,human,male,,,,,,,Jon Rigbee,1638,,,,1709-05-25,,,,,,,1675-05-26,,,,,,,,,,,,,,,,,,,,,,,,Quaker,Q110880456,,,,,,,,,
Patrick Robinson,human,male,,,,,,,Pat Robison | Patrick Robison,1653,Q133805663,,,1701-10-22,Q133805663,,,,,,,,,,,Scotland|presumably,Q133805663,,,Philadelphia,Q133805663,,,,,Bucks County,Q133805663,,,,legislator,Q133805663,,,Quaker,Q110880456,WikiProject PRINT ,,,,,,,,
William Storrs,human,male,,,,,,,William Stors | William Storr,1638-07-30,birth record,,,,,,,,,Sarah Sykes,1669-07-14,,Q133846574,,,,,,,,,,,,,"Chesterfield, Derbyshire",,https://archive.org/details/storrsfamilygene00stor/page/38/mode/2up,1085310408,,shopkeeper,Q27715967|21|1|1-4,,,Quaker,Q133773293,,,,,,,,Storrs-397,
George Strauss,human,male,,,,,,,George Strauß,1736|before,Library of the Francke Foundations,https://archiv.francke-halle.de/hzeig.FAU?sid=FA21C6ED61&dm=1&dokref=1&indx=%23F211%23&auft=Strau%DF%2C+George,,1756|after,Library of the Francke Foundations,https://archiv.francke-halle.de/hzeig.FAU?sid=FA21C6ED61&dm=1&dokref=1&indx=%23F211%23&auft=Strau%DF%2C+George,,,,,,,,,,,,,,,,,,,,Krakow,Library of the Francke Foundations,https://archiv.francke-halle.de/hzeig.FAU?sid=FA21C6ED61&dm=1&dokref=1&indx=%23F211%23&auft=Strau%DF%2C+George,,,,,,,,Q126727415,WikiProject PRINT ,,,,,,,,
John Tatham,human,male,,,,,,,John Tabham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catholic,Q110880456,,,,,,,,,
Thomas Thurston,human,male,,,,,,,,1622|circa,Maryland Historical Magazine,https://archive.org/details/msa_sc_5881_1_246/page/n57/mode/2up,,1693,Maryland Historical Magazine,https://archive.org/details/msa_sc_5881_1_246/page/n57/mode/2up,,,,,,,,,,Gloucestershire,Google Book|||268,https://archive.org/details/quakersinamerica00joneuoft/page/268/mode/2up,vu8NAQAAIAAJ,,,,,,,,,,,,preacher,Google Book|||268,https://archive.org/details/quakersinamerica00joneuoft/page/268/mode/2up,vu8NAQAAIAAJ,Quaker,Q133773293,,,,,,,,Thurston-177,
Eleonore Catharina Waldeck,human,female,,,,,,,Countess Eleonore Catharina von Waldeck,1670-08-05,,https://babel.hathitrust.org/cgi/pt?id=hvd.hx3kmm&seq=84,,1717-09-12,,https://babel.hathitrust.org/cgi/pt?id=hvd.hx3kmm&seq=84,,,,,,,,,,"Waldeck, Hesse",,https://babel.hathitrust.org/cgi/pt?id=hvd.hx3kmm&seq=84,,,,,,,,,,,,,,,,,,Q126727415,,,,,,,,,
Samuel Watson,human,male,,,,,,,,1618|circa,,,aKBBMwEACAAJ,1708,,,aKBBMwEACAAJ,,,Mary Monk,1664,,Q59183125|||343,https://archive.org/details/shortjournalitin0000foxg/page/343/mode/2up,,,,,,,,,,,,"Stainforth, Yorkshire",Q59183125|||342,https://archive.org/details/shortjournalitin0000foxg/page/342/mode/2up,,,,,,,Quaker,Q133773293,WikiProject PRINT ,,261460925,n85311611,,,,,
Thomas Wight,human,male,,,,,,,Thomas Wright,1640,"Immigration of Irish Quakers to Pennsylvania, 1682-1750|||22",,,1724,"Immigration of Irish Quakers to Pennsylvania, 1682-1750|||284",,,,,,,,,,,,,,,,,,,,,County Cork,"Immigration of Irish Quakers to Pennsylvania, 1682-1750|||284",,,,,,,,Quaker,Q110880456,,,,,,,,,
Helena Dorothea Von Wolzogen,human,female,,,,,,,,1623-02-02,Library of the Francke Foundations,https://archiv.francke-halle.de/hzeig.FAU?sid=115317208&dm=1&dokref=1&indx=%23F211%23&auft=Wolzogen%2C+Helena+Dorothea+von,,1705-02-21,Library of the Francke Foundations,https://archiv.francke-halle.de/hzeig.FAU?sid=115317208&dm=1&dokref=1&indx=%23F211%23&auft=Wolzogen%2C+Helena+Dorothea+von,,,,,,,,,,"Hernals, Vienna",Library of the Francke Foundations,https://archiv.francke-halle.de/hzeig.FAU?sid=115317208&dm=1&dokref=1&indx=%23F211%23&auft=Wolzogen%2C+Helena+Dorothea+von,,"Bayreuth, Bavaria",Library of the Francke Foundations,https://archiv.francke-halle.de/hzeig.FAU?sid=115317208&dm=1&dokref=1&indx=%23F211%23&auft=Wolzogen%2C+Helena+Dorothea+von,,,,,,,,,,,,,,Q126727415,,,,,,,,,
Ezekiell Woolley,human,male,,,,,,,Ezekiel Wooley | Ezekiel Woolly | Ezekiel Woolies,1625|circa,Q59183125|||338,https://archive.org/details/shortjournalitin0000foxg/page/338/mode/2up,,1693-05-21,Q59183125|||338,https://archive.org/details/shortjournalitin0000foxg/page/338/mode/2up,,,,,,,,,,,,,,,,,,,,"Spitalfields, London",Q59183125|||338,https://archive.org/details/shortjournalitin0000foxg/page/338/mode/2up,,,weaver,Q59183125|||338,https://archive.org/details/shortjournalitin0000foxg/page/338/mode/2up,,Quaker,Q133773293,,,,,,,,,
Maria Dorothea Ziegenbalg,human,female,,,,,Salzmann,Ziegenbalg,Maria Dorothea Ziegenbalg,1693|circa,Wikipedia,https://de.wikipedia.org/wiki/Bartholom%C3%A4us_Ziegenbalg,,1722,Wikipedia,https://de.wikipedia.org/wiki/Bartholom%C3%A4us_Ziegenbalg,,,,Bartholomäus Ziegenbalg,1715-06-04,,Wikipedia,https://de.wikipedia.org/wiki/Bartholom%C3%A4us_Ziegenbalg,,,,,,,,,,,,,,,,,,,,,,Q126727415,,,389159109693106900000,,,,,,
Johann Ludwig Runckel,human,male,diplomat and facilitator of Swiss Anabaptist migration,,,,,,Johannes Runkel  | John Louis Runkle | Johan Runchel,1694|before,Documents of Brotherly Love|||5,,,1720-04-01,Stadsarchief Amsterdam,https://archief.amsterdam/inventarissen/scans/565.A/1482/start/0/limit/10/highlight/1,,,,Johanna Ester Fischer van Reichenbach,,,Stadsarchief Amsterdam,https://archief.amsterdam/inventarissen/scans/565.A/1482/start/0/limit/10/highlight/1,,Switzerland|presumably,Documents of Brotherly Love|||5,,,Schaffhausen,Documents of Brotherly Love|||13,,,,,Bern,Documents of Brotherly Love|||6,,,,ambassador,Documents of Brotherly Love|||5,,,Reformed,Q134288060,WikiProject PRINT ,,,,,"Runkel, Johann Ludwig (17th / 18th centuries)",,,
